
17.06.2017 22:01:40 [main] INFO  parser.TextParser - Start working
17.06.2017 22:01:40 [main] INFO  parser.TextParser - paragraphs:   Hello! How have you all been? Things here have been well, more than a little up and down of late.I thought I might show you around a little.

17.06.2017 22:01:40 [main] INFO  parser.TextParser - sentences:   Hello
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:Hello
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:H
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:40 [main] INFO  parser.TextParser - sentences: How have you all been
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:How
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:H
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:w
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:have
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:h
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:v
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:you
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:y
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:u
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:all
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:been
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:b
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:n
17.06.2017 22:01:40 [main] INFO  parser.TextParser - sentences: Things here have been well, more than a little up and down of late
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:Things
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:T
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:h
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:i
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:n
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:g
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:s
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:here
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:h
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:r
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:have
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:h
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:v
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:been
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:b
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:n
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:well
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:w
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:more
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:m
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:r
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:than
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:h
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:n
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:a
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:little
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:i
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:up
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:u
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:p
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:and
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:n
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:d
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:down
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:d
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:w
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:n
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:of
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:f
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:late
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:40 [main] INFO  parser.TextParser - sentences:I thought I might show you around a little
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:I
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:I
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:thought
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:h
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:u
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:g
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:h
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:I
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:I
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:might
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:m
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:i
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:g
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:h
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:show
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:s
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:h
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:w
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:you
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:y
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:u
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  word:around
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:r
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:u
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:n
17.06.2017 22:01:40 [main] INFO  parser.TextParser -  symbol:d
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:a
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:little
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:i
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:41 [main] INFO  parser.TextParser - sentences:

17.06.2017 22:01:41 [main] INFO  parser.TextParser - paragraphs:   I feel like the clouds are starting to part though. Our days returning to normal.

17.06.2017 22:01:41 [main] INFO  parser.TextParser - sentences:   I feel like the clouds are starting to part though
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:I
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:I
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:feel
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:f
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:like
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:i
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:k
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:the
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:h
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:clouds
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:c
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:l
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:u
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:d
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:s
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:are
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:r
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:e
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:starting
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:s
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:r
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:i
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:n
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:g
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:to
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:part
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:p
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:a
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:r
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  word:though
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:t
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:h
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:o
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:u
17.06.2017 22:01:41 [main] INFO  parser.TextParser -  symbol:g
